Section,Status,Content Complexity,"Section Heading (Must be in UPPERCASE, UNDERLINED BLACK FONT)",Sub-section,Required or Optional? (can the section be omitted if not relevant to the protocol),Section Instructions (HIGHLIGHTED in template),"Required Text (BLACK in template) Sections requiring study-specific content are noted with {{ }}, with more details noted in the Section Instructions column.","Suggested Text Output (BLUE FONT IN TEMPLATE) -should align with suggested text as much as possible, with study-specific modifications to language.",Questions from project team,Minimal Risk Template Mapping,Mapping to UHN Protocol Template Section,Mapping to sponsor protocol template,Build Plan/Key Decisions,Notes
1,Excluded,"[""Other""]",Summary of Informed Consent Form ,,Exclude for now - only to be included for US-funded studies.,*Pre-fill this section with instructions for user to fill in section themselves if required*,,,,N/A,,,,
2.1,Not Started,"[""Easy mapping complexity""]",Informed Consent Form for Participation in a Research Study,Study Title:  ,Required,"Insert study title as written on the protocol. Should the title be complicated, a title in simplified lay terms could be included after the full title of the study. 
",,,,Same as minimal risk,"Title Page (body, not header) OR General Information",Title Page OR Protocol Summary OR Header,,
2.2,Not Started,"[""Easy mapping complexity""]",Informed Consent Form for Participation in a Research Study,Sponsor’s Study ID/Protocol number: ,"Optional, include if relevant",Insert sponsor’s study ID if applicable,,,,Same as minimal risk,Title Page (header) OR General Information,Title Page OR Protocol Summary OR Header -> Study ID OR Trial No. ,,
2.3,Not Started,"[""Not in protocol - requires manual entry"",""Easy mapping complexity""]",Informed Consent Form for Participation in a Research Study,Study Doctor: ,Required,"Insert name, department and telephone or pager number.
Indicate “Dr.” only for doctors licensed to practice medicine in Canada; indicate “Nurse” only for nurses licensed to practice in Canada. All other Investigators should be referred by their credentials and, if applicable, country of practice",,,,Same as minimal risk,"Title Page OR General Information -> ""Principal Investigator""; ""Study Lead""; ""Study Doctor""; ""Lead Investigator""",Not typically found in sponsor protocol.,,
2.4,Not Started,"[""Not in protocol - requires manual entry""]",Informed Consent Form for Participation in a Research Study,Co-Investigators:,"Optional, include if relevant","Listing Co-Investigators is discouraged, but should be considered for studies involving expertise from different departments (e.g., multimodal studies).  ",,,,Same as minimal risk,Not typically in protocol.,Not typically in protocol.,,
2.5,Not Started,"[""Not in protocol - requires manual entry"",""Easy mapping complexity""]",Informed Consent Form for Participation in a Research Study,Sponsor/Funder(s): ,"Optional, include if relevant","Insert the name of the Sponsor or, if applicable, the funder(s) of the research as documented in the protocol and/or application form, including, if applicable, drug suppliers.  In general, UHN should not be indicated as a sponsor unless the UHN is a regulatory sponsor, then the entity that funds the study should be indicated as well as non-for-profit status of the UHN.",,,,Same as minimal risk,Not typically found in protocol.,Title Page OR Protocol Summary -> Sponsor Name OR Company Name,,
2.6,Not Started,"[""Not in protocol - requires manual entry""]",Informed Consent Form for Participation in a Research Study,Emergency Contact Number (24 hours / 7 days a week):,"Optional, include if relevant","This may be a pager number (in this case change the heading to “Pager number”).  Clearly provide instructions for whom to contact, e.g. Principal Investigator, Co-investigator, a staff physician on call (e.g., “Ask for the Medical Oncologist on call”). The contact person must be knowledgeable about the study.  

A research fellow can only be indicated as a contact person if discussed with and approved by the REB.

Should a pager or hospital locating be used, provide brief instructions on how to page/use locating (e.g. “Ask hospital locating to page the study doctor”)

Should communication via e-mail be suggested, when providing an e-mail address, include a disclaimer (as applicable). Only UHN email addresses should be provided to participants. 

Note that non-emergency contact numbers are noted at the end of the consent form, under section heading &quot;Contacts&quot;. 
",N/A - see suggested text,"<If email communication is suggested>
Please note that communication via e-mail is not absolutely secure. Thus, please do not communicate personal sensitive information via e-mail. 
OR
Please note that the security of e-mail messages is not guaranteed. Messages may be forged, forwarded, kept indefinitely, or seen by others using the Internet. Do not use e-mail to discuss information you think is sensitive. Do not use e-mail in an emergency since e-mail may be delayed.

<Note non-emergency contact information>
Non-Emergency contact numbers are noted at the end of this document under the section heading “Contacts”. ",,Not in Minimal Risk template,Not typically found in protocol.,Not typically found in protocol.,,
3,Not Started,"[""Moderate mapping complexity"",""Not in protocol - requires manual entry""]",INTRODUCTION,N/A,Required,"{{main features of population}}: Explain the main features of the population to which the research applies. Do not include an extensive list of inclusion/exclusion criteria. A high level summary is required. 

{{Specify timeframe for a decision}}: If time permits, note: ""Please take your time in making your decision"". For clinical trials where participants must start intervention within a specific timeframe due to best practices for participant population/disease: ""The study staff will tell you about the study timelines for making your decision.

{{Specify other potential participant concerns}}: Specify any other potential areas where participants might be concerned about a potential penalty or discrimination. For example: the decision will not affect your employment. 
","You are being invited to participate in a research {{insert as applicable: study/ clinical trial (a type of study that involves research)}}. You are invited to participate in this study because you {{main features of population}}. This consent form provides you with information to help you make an informed choice. Please read this document carefully and ask any questions you may have.  All your questions should be answered to your satisfaction before you decide whether to participate in this research study. You may find it helpful to discuss it with your friends and family. 

<If time permits>:  
Please take your time in making your decision.  
OR
<for clinical trials where participants must start intervention within a specific timeframe due to best practices for participant population/disease>
The study staff will tell you about the study timelines for making your decision.

Taking part in this study is voluntary. You have the option to not participate at all or you may choose to leave the study at any time.  Whatever you choose, it will not affect the usual medical care that you receive outside the study. {{include if applicable: However; it may affect your future health care options. This will be discussed with you.  If you have any questions about this, you can ask the study team.}}  {{Specify other potential participant concerns, such as penalties, discrimination, or impact on employment}} 


","
",{{Specify other potential participant concerns}}: Is this discernible from the protocol? What is usually included in this section?,Different content in required text,"If it’s a clinical trial or different study type: Protocol Summary OR General Information 

The main features of the population to which the research applies: Selection of Samples/Subjects -> Study Inclusion Criteria 

Whether there is a specific timeframe or deadline for deciding on study participation: Not typically found in protocol.

Potential impact on future health care options: Not typically found in protocol.

Other potential areas of concern related to penalties or discrimination (i.e. “the decision will not affect your employment”): Not typically found in protocol.","If it’s a clinical trial or different study type: Protocol Summary

The main features of the population to which the research applies: Selection of Samples/Subjects -> Study Inclusion Criteria OR Participants OR Inclusion Criteria OR Subject Inclusion Criteria  

Whether there is a specific timeframe or deadline for deciding on study participation: Not typically found in protocol.

Potential impact on future health care options: Not typically found in protocol.

Other potential areas of concern related to penalties or discrimination (i.e. “the decision will not affect your employment”): Not typically found in protocol.",,
4,Not Started,"[""Not in protocol - requires manual entry""]",IS THERE A CONFLICT OF INTEREST? ,N/A,Required,"Describe any conflict of interest that exists or may appear to exist as it relates to any of the investigators, study staff or member of their immediate family.  A conflict of interest exists if there is a potential benefit to the investigator(s), study staff or member of their immediate family including the professional benefit from academic achievement or presentation of the results.  Examples include, but are not limited to, speaker’s fees, travel assistance, consultant fees, honoraria, gifts, and intellectual property rights such as patents.  A declaration of conflict of interest should include the identity of the person with the conflict of interest, the type of incentive or inducement, and its source.  ",N/A - see suggested text,"The {{study doctor/researcher}}, {{insert name}}, is receiving personal financial payment from {{identify source of funds}} for {{include reason for payment}}. You may request details about this payment.
OR
The {{insert recipient of funding}} is receiving financial payment from the {{Sponsor/Funder}} to cover the cost of conducting this study.
OR
<For sponsored studies>
{{Insert name of company}}, the sponsor of this study, will reimburse the hospital and researcher for the costs of doing this study. All of these people have an interest in completing this study. Their interests should not influence your decision to participate in this study.  
OR
<For internally funded studies>
Researchers have an interest in completing this study. Their interests should not influence your decision to participate in this study.
",,Same as minimal risk,Not typically found in protocol. ,Not typically found in protocol. ,,
5,Not Started,"[""Moderate mapping complexity"",""Not in protocol - requires manual entry""]",WHAT IS THE BACKGROUND INFORMATION FOR THIS STUDY?,N/A,Required,"Describe (in lay language) the background information relevant to the study, including (as applicable) the standard of care for the population, the reason for conducting the clinical trial, and the nature of the application with Health Canada. ","<<For studies under Health Canada oversight, include one of the following options, as applicable>>
<<Option 1: Approved product/agent/device for condition used outside of approved parameters (e.g., approved agent being used for new (not approved) condition, or being used outside of approved dosage/schedule)>>
{{Insert name(s) of product/agent/device}} is approved in Canada to treat {{specify condition/disease}}.  Health Canada, the regulatory body that oversees the use of {{natural health products/drugs/devices}} in Canada, has not approved the sale or use of {{insert name(s) of product/agent/device}} for {{specify change from approved parameters}}. Health Canada has allowed {{insert name(s) of product/agent/device}} to be used in this study. 

<<Option 2: Product/agent/device not approved by Health Canada>>
Health Canada, the regulatory body that oversees the use of {{natural health products/drugs/devices}} in Canada, has not approved the sale or use of {{insert name(s) of product/agent/device}}.  Health Canada has allowed {{insert name(s) of product/agent/device}} to be used in this study. 
","The standard or usual treatment for {{specify condition}} is {{describe the standard treatment}}.

{{Insert name(s) of product/agent/device}} is a new type of {{describe - natural health product/drug/device, etc}} for {{specify condition}}. Laboratory tests show that it may {{explain laboratory results in lay terminology}}. It has been studied in a few people and seems promising but it is not clear if it can offer better results than standard treatment.

This is the first time this has been tested in people.  
",Suggestion for a test case: protocols noting Health Canada oversight. ,Not in Minimal Risk template,Background information,Introduction OR Background Information,,The part about Health Canada oversight will not be in the protocol. 
